PWR: 1200.885 | HEx1: 4.857 | HEx2: 2.868 | HEx3: 2.907 | C1: 0.564 | C2: 2.270 | C3: 1.661 | C4: 0.026 | C6: 0.502 | C7: 2.484 | T1: -16.233 | T2: -64.621 | P1: 411.900 | P2: 2285.000 
PWR: 1206.223 | HEx1: 4.849 | HEx2: 2.867 | HEx3: 3.068 | C1: 0.574 | C2: 2.270 | C3: 1.661 | C4: 0.026 | C6: 0.502 | C7: 2.484 | T1: -16.233 | T2: -64.621 | P1: 411.900 | P2: 2285.000 
PWR: 1206.764 | HEx1: 5.015 | HEx2: 3.113 | HEx3: 3.016 | C1: 0.564 | C2: 2.293 | C3: 1.661 | C4: 0.026 | C6: 0.502 | C7: 2.484 | T1: -16.233 | T2: -64.621 | P1: 411.900 | P2: 2285.000 
PWR: 1202.115 | HEx1: 4.995 | HEx2: 2.866 | HEx3: 2.858 | C1: 0.564 | C2: 2.270 | C3: 1.678 | C4: 0.026 | C6: 0.502 | C7: 2.484 | T1: -16.233 | T2: -64.621 | P1: 411.900 | P2: 2285.000 
PWR: 1201.139 | HEx1: 4.856 | HEx2: 2.874 | HEx3: 2.907 | C1: 0.564 | C2: 2.270 | C3: 1.661 | C4: 0.016 | C6: 0.502 | C7: 2.484 | T1: -16.233 | T2: -64.621 | P1: 411.900 | P2: 2285.000 
PWR: 1204.146 | HEx1: 4.829 | HEx2: 2.834 | HEx3: 2.938 | C1: 0.564 | C2: 2.270 | C3: 1.661 | C4: 0.026 | C6: 0.512 | C7: 2.484 | T1: -16.233 | T2: -64.621 | P1: 411.900 | P2: 2285.000 
PWR: 1203.095 | HEx1: 4.923 | HEx2: 2.920 | HEx3: 2.907 | C1: 0.564 | C2: 2.270 | C3: 1.661 | C4: 0.026 | C6: 0.502 | C7: 2.459 | T1: -16.233 | T2: -64.621 | P1: 411.900 | P2: 2285.000 
PWR: 1200.746 | HEx1: 4.865 | HEx2: 2.898 | HEx3: 2.897 | C1: 0.564 | C2: 2.270 | C3: 1.661 | C4: 0.026 | C6: 0.502 | C7: 2.484 | T1: -16.395 | T2: -64.621 | P1: 411.900 | P2: 2285.000 
PWR: 1201.024 | HEx1: 4.848 | HEx2: 2.809 | HEx3: 2.917 | C1: 0.564 | C2: 2.270 | C3: 1.661 | C4: 0.026 | C6: 0.502 | C7: 2.484 | T1: -16.071 | T2: -64.621 | P1: 411.900 | P2: 2285.000 
PWR: 1200.885 | HEx1: 4.857 | HEx2: 2.786 | HEx3: 2.932 | C1: 0.564 | C2: 2.270 | C3: 1.661 | C4: 0.026 | C6: 0.502 | C7: 2.484 | T1: -16.233 | T2: -65.267 | P1: 411.900 | P2: 2285.000 
PWR: 1200.885 | HEx1: 4.857 | HEx2: 2.870 | HEx3: 2.869 | C1: 0.564 | C2: 2.270 | C3: 1.661 | C4: 0.026 | C6: 0.502 | C7: 2.484 | T1: -16.233 | T2: -63.975 | P1: 411.900 | P2: 2285.000 
PWR: 1209.107 | HEx1: 5.010 | HEx2: 3.015 | HEx3: 3.061 | C1: 0.564 | C2: 2.270 | C3: 1.661 | C4: 0.026 | C6: 0.502 | C7: 2.484 | T1: -16.233 | T2: -64.621 | P1: 407.781 | P2: 2285.000 
